

#### Run ns=256
-- single threaded
Time = 1.0694e-01 s, T_eff = 15.96 GB/s 

-- multithreaded (12 threads), dynamic scheduling
Time = 7.1674e-02 s, T_eff = 23.82 GB/s 

-- multithreaded (12 threads), static scheduling
Time = 5.9910e-02 s, T_eff = 28.49 GB/s 



#### Run ns=512
-- single threaded
Time = 1.7185e+00 s, T_eff = 15.97 GB/s 

-- multithreaded (12 threads), dynamic scheduling
Time = 8.4106e-01 s, T_eff = 32.63 GB/s 

-- multithreaded (12 threads), static scheduling
Time = 7.9194e-01 s, T_eff = 34.65 GB/s 



#### Run ns=1228
-- single threaded
Time = 9.1175e+01 s, T_eff = 9.97 GB/s 

-- multithreaded (12 threads), dynamic scheduling
Time = 2.9738e+01 s, T_eff = 30.58 GB/s 

-- multithreaded (12 threads), static scheduling
Time = 2.7932e+01 s, T_eff = 32.56 GB/s 

